step,time_sec,active_samples,solver_time_sec,grad_norm,solver_ret,energy_main,energy_sub0,energy_sub1
116,0.116,0,0.005089,4.08353e-10,0,-658.688,6.32383e-12,
117,0.117,0,0.010282,4.12855e-10,0,-669.996,4.55458e-12,
118,0.11800000000000001,0,0.007112,5.06047e-10,0,-681.4,6.24567e-12,
119,0.11900000000000001,0,0.035793,4.71817e-10,0,-692.9,7.68807e-12,
120,0.12,0,0.009116,4.28812e-10,0,-704.496,5.15143e-12,
121,0.121,0,0.005587,4.85872e-10,0,-716.189,6.53699e-12,
122,0.122,0,0.015773,4.21469e-10,0,-727.978,5.20828e-12,
123,0.123,0,0.004051,5.03384e-10,0,-739.863,3.94351e-12,
124,0.124,0,0.003251,4.6431e-10,0,-751.844,5.57066e-12,
125,0.125,0,0.00373,4.03425e-10,0,-763.922,7.51754e-12,
126,0.126,0,0.003248,4.30598e-10,0,-776.096,4.75353e-12,
127,0.127,0,0.005298,4.246e-10,0,-788.366,6.87805e-12,
128,0.128,0,0.004218,5.15282e-10,0,-800.732,5.69145e-12,
129,0.129,0,0.003938,5.86988e-10,0,-813.195,4.79616e-12,
130,0.13,0,0.003533,4.53088e-10,0,-825.754,6.25278e-12,
131,0.131,0,0.003933,4.77543e-10,0,-838.409,5.43565e-12,
132,0.132,0,0.003189,4.22016e-10,0,-851.16,5.99698e-12,
133,0.133,0,0.003878,4.24081e-10,0,-864.008,5.91882e-12,
134,0.134,0,0.003754,4.26073e-10,0,-876.951,5.6275e-12,
135,0.135,0,0.003789,4.68414e-10,0,-889.991,6.61515e-12,
136,0.136,0,0.005871,4.70308e-10,0,-903.128,2.50111e-12,
137,0.137,0,0.003466,4.78203e-10,0,-916.36,4.17799e-12,
138,0.138,0,0.00446,4.40718e-10,0,-929.689,5.56355e-12,
139,0.139,0,0.003728,3.64373e-10,0,-943.114,5.26512e-12,
140,0.14,0,0.004189,4.11605e-10,0,-956.635,6.42331e-12,
141,0.14100000000000001,0,0.006151,5.58664e-10,0,-970.252,4.36273e-12,
142,0.14200000000000002,0,0.004232,4.84666e-10,0,-983.966,4.08562e-12,
143,0.14300000000000002,0,0.005117,3.91737e-10,0,-997.776,5.48539e-12,
144,0.14400000000000002,0,0.004215,4.39288e-10,0,-1011.68,5.12301e-12,
145,0.145,0,0.00344,5.65189e-10,0,-1025.68,6.26699e-12,
146,0.146,0,0.003684,5.39611e-10,0,-1039.78,5.73408e-12,
147,0.147,0,0.003814,4.53998e-10,0,-1053.98,5.35749e-12,
148,0.148,0,0.003995,5.74995e-10,0,-1068.27,6.71463e-12,
149,0.149,0,0.004788,6.17614e-10,0,-1082.66,3.98614e-12,
150,0.15,0,0.003437,4.08914e-10,0,-1097.14,5.76961e-12,
151,0.151,0,0.003652,4.22737e-10,0,-1111.72,4.14246e-12,
152,0.152,0,0.004551,4.65514e-10,0,-1126.4,5.16565e-12,
153,0.153,0,0.004894,4.87816e-10,0,-1141.17,4.91696e-12,
154,0.154,0,0.003615,4.99591e-10,0,-1156.04,5.54223e-12,
