step,time_sec,active_samples,solver_time_sec,grad_norm,solver_ret,energy_main,energy_sub0,energy_sub1
143,0.14300000000000002,0,0.005667,4.7498e-10,0,-997.776,5.43565e-12,
144,0.14400000000000002,0,0.004808,4.7123e-10,0,-1011.68,6.75016e-12,
145,0.145,0,0.003622,5.84168e-10,0,-1025.68,5.1088e-12,
146,0.146,0,0.004743,5.55759e-10,0,-1039.78,4.73932e-12,
147,0.147,0,0.003249,5.6151e-10,0,-1053.98,5.21538e-12,
148,0.148,0,0.004061,4.75729e-10,0,-1068.27,5.82645e-12,
149,0.149,0,0.00323,5.93783e-10,0,-1082.66,5.73408e-12,
150,0.15,0,0.003244,4.6631e-10,0,-1097.14,3.87956e-12,
151,0.151,0,0.004302,5.34483e-10,0,-1111.72,4.66116e-12,
152,0.152,0,0.0041,5.01273e-10,0,-1126.4,5.67724e-12,
153,0.153,0,0.004185,4.97391e-10,0,-1141.17,3.99325e-12,
154,0.154,0,0.004172,5.48228e-10,0,-1156.04,2.8848e-12,
155,0.155,0,0.003862,5.37609e-10,0,-1171.0,4.44089e-12,
156,0.156,0,0.003581,5.64772e-10,0,-1186.06,4.07141e-12,
157,0.157,0,0.00394,5.52302e-10,0,-1201.22,3.01981e-12,
158,0.158,0,0.004108,5.85776e-10,0,-1216.47,2.94165e-12,
159,0.159,0,0.003423,4.23408e-10,0,-1231.82,5.25091e-12,
160,0.16,0,0.006251,4.73344e-10,0,-1247.27,5.20117e-12,
161,0.161,0,0.003193,4.29242e-10,0,-1262.81,4.24194e-12,
162,0.162,0,0.00353,4.30287e-10,0,-1278.45,4.88143e-12,
163,0.163,0,0.003395,5.15552e-10,0,-1294.18,7.31859e-12,
164,0.164,0,0.004554,4.84532e-10,0,-1310.01,2.46558e-12,
165,0.165,0,0.004519,4.58896e-10,0,-1325.94,4.03588e-12,
166,0.166,1,0.007134,1.55387e-06,0,-1341.96,9.51312e-07,0.00324425
167,0.167,2,0.008995,5.49305e-10,0,-1358.08,7.83144e-06,0.00844675
168,0.168,5,0.102695,5.99016e-05,0,-1374.29,4.29274e-05,0.0256164
169,0.169,7,0.028255,0.000148787,0,-1390.58,0.000178764,0.0591404
170,0.17,11,0.104866,5.46369e-05,0,-1406.95,0.000590773,0.121958
171,0.171,15,0.009153,9.97053e-08,0,-1423.38,0.00163549,0.226371
172,0.17200000000000001,23,0.007863,2.90735e-07,0,-1439.85,0.00402961,0.391695
173,0.17300000000000001,29,0.009767,7.33041e-07,0,-1456.35,0.0088844,0.628048
174,0.17400000000000002,38,0.008081,1.67902e-06,0,-1472.86,0.0178632,0.963995
175,0.17500000000000002,49,0.110274,3.47988e-06,0,-1489.35,0.033155,1.4184
176,0.176,57,0.011651,1.55398e-09,0,-1505.79,0.0573855,2.0172
177,0.177,73,0.011489,3.1627e-09,0,-1522.16,0.0937414,2.80788
178,0.178,84,0.064537,6.14965e-06,0,-1538.4,0.145625,3.80861
179,0.179,105,0.04687,6.56507e-06,0,-1554.48,0.216986,5.08999
180,0.18,126,0.062013,4.00936e-06,0,-1570.32,0.312839,6.68171
181,0.181,145,0.15897,7.30253e-06,0,-1585.87,0.439736,8.65042
182,0.182,170,0.069028,5.41002e-05,0,-1601.07,0.60521,11.0689
183,0.183,200,0.125522,9.53705e-05,0,-1615.83,0.817594,14.0133
184,0.184,230,0.016656,9.1731e-08,0,-1630.05,1.08606,17.5435
185,0.185,256,0.048698,1.07241e-05,0,-1643.64,1.41983,21.758
186,0.186,287,0.070685,9.252e-05,0,-1656.51,1.82859,26.7217
187,0.187,306,0.067874,6.61e-05,0,-1668.57,2.32253,32.485
188,0.188,343,0.181985,0.000265417,0,-1679.76,2.9131,39.1605
189,0.189,366,0.026457,3.62532e-07,0,-1689.94,3.6128,46.7753
190,0.19,407,0.015318,4.29792e-07,0,-1699.08,4.43485,55.4671
191,0.191,445,0.166706,0.000363671,0,-1706.99,5.39252,65.2929
192,0.192,479,0.050698,4.86912e-05,0,-1713.59,6.49911,76.3567
193,0.193,517,0.022216,6.09166e-07,0,-1718.76,7.76813,88.7391
194,0.194,550,0.094153,6.66858e-07,0,-1722.4,9.21602,102.516
195,0.195,586,0.225863,0.000225264,0,-1724.41,10.8598,117.762
