step,time_sec,active_samples,solver_time_sec,grad_norm,solver_ret,energy_main,energy_sub0,energy_sub1
197,0.197,463,0.064365,5.35933e-06,0,-665.674,948.641,50.5927
198,0.198,454,0.109001,8.73106e-05,0,-616.215,1002.65,48.7104
199,0.199,442,0.020541,1.07822e-07,0,-565.228,1057.14,47.2148
200,0.2,430,0.017689,3.53869e-07,0,-513.121,1111.26,46.2062
201,0.201,413,0.121486,5.69816e-06,0,-460.68,1164.04,45.7271
202,0.202,406,0.021665,2.32492e-07,0,-408.845,1214.58,45.7322
203,0.203,395,0.085465,6.2869e-06,0,-358.535,1262.18,46.1717
204,0.20400000000000001,390,0.017694,1.97778e-07,0,-310.474,1306.3,46.9696
205,0.20500000000000002,387,0.024046,3.40791e-06,0,-265.236,1346.52,48.0367
206,0.20600000000000002,385,0.015823,2.11871e-07,0,-223.308,1382.51,49.2834
207,0.20700000000000002,384,0.037164,1.03319e-05,0,-185.101,1414.02,50.6302
208,0.20800000000000002,385,0.0854,1.84354e-06,0,-150.916,1440.94,52.0147
209,0.209,389,0.25031,4.58581e-05,0,-120.905,1463.26,53.3929
210,0.21,392,0.02925,1.73215e-07,0,-95.0904,1480.98,54.7369
211,0.211,400,0.117878,2.14225e-05,0,-73.4399,1494.11,56.0309
212,0.212,407,0.01715,5.4376e-07,0,-55.9547,1502.54,57.2682
213,0.213,414,0.033318,6.18939e-07,0,-42.7273,1506.09,58.4452
214,0.214,424,0.134152,4.22106e-06,0,-33.9404,1504.53,59.5645
215,0.215,440,0.025434,7.79172e-07,0,-29.7964,1497.66,60.6301
216,0.216,448,0.09705,9.01366e-05,0,-30.4635,1485.38,61.5983
217,0.217,463,0.076836,6.35574e-05,0,-36.1282,1467.67,62.3528
218,0.218,469,0.079033,6.11311e-06,0,-46.9347,1444.65,62.7788
219,0.219,471,0.016637,9.30602e-07,0,-62.888,1416.57,62.8011
220,0.22,472,0.021047,9.41792e-07,0,-83.8202,1383.75,62.3677
221,0.221,472,0.170773,6.75728e-05,0,-109.439,1346.66,61.4772
222,0.222,469,0.017791,9.1319e-07,0,-139.307,1305.8,60.1553
223,0.223,463,0.038849,0.000108607,0,-172.88,1261.74,58.4619
224,0.224,457,0.045905,3.4545e-06,0,-209.548,1215.01,56.4875
225,0.225,444,0.018722,6.52431e-07,0,-248.697,1166.09,54.3403
226,0.226,431,0.019137,5.26939e-07,0,-289.76,1115.39,52.1279
227,0.227,419,0.050008,2.16227e-05,0,-332.254,1063.23,49.9407
228,0.228,409,0.071647,3.17091e-07,0,-375.786,1009.93,47.8441
229,0.229,393,0.022394,2.77381e-07,0,-420.016,955.789,45.8766
230,0.23,384,0.020187,2.94812e-07,0,-464.615,901.163,44.0516
231,0.231,372,0.113932,6.10128e-05,0,-509.237,846.435,42.3633
232,0.232,359,0.018747,3.58943e-07,0,-553.515,792.019,40.7954
233,0.233,346,0.018168,3.86533e-07,0,-597.063,738.322,39.3168
234,0.234,330,0.084512,4.42875e-05,0,-639.512,685.73,37.9027
235,0.23500000000000001,317,0.173908,1.15672e-05,0,-680.517,634.594,36.5271
236,0.23600000000000002,304,0.020137,3.70183e-07,0,-719.761,585.221,35.1715
237,0.23700000000000002,293,0.112095,1.68214e-05,0,-756.969,537.869,33.8266
238,0.23800000000000002,283,0.023535,3.33734e-07,0,-791.906,492.751,32.489
239,0.23900000000000002,274,0.08676,3.15246e-07,0,-824.379,450.037,31.1606
240,0.24,259,0.060872,3.0251e-07,0,-854.233,409.852,29.8259
241,0.241,250,0.019306,2.63971e-07,0,-881.368,372.287,28.4915
242,0.242,240,0.043724,5.49503e-05,0,-905.703,337.417,27.1538
243,0.243,229,0.025085,6.39072e-08,0,-927.184,305.303,25.807
244,0.244,220,0.097125,6.37674e-05,0,-945.775,275.983,24.4334
245,0.245,210,0.112958,5.32062e-05,0,-961.461,249.483,23.0258
246,0.246,198,0.067678,2.54484e-05,0,-974.242,225.802,21.5755
247,0.247,188,0.014654,3.38924e-07,0,-984.142,204.911,20.0771
248,0.248,176,0.079834,3.4161e-07,0,-991.208,186.742,18.5318
249,0.249,164,0.016804,3.46764e-07,0,-995.522,171.19,16.9462
250,0.25,155,0.013595,3.34441e-07,0,-997.199,158.105,15.3315
251,0.251,142,0.032388,2.80124e-06,0,-996.395,147.294,13.7075
252,0.252,134,0.147938,2.14943e-05,0,-993.302,138.532,12.1021
253,0.253,129,0.020638,2.71416e-07,0,-988.136,131.558,10.5413
254,0.254,118,0.052149,6.56658e-06,0,-981.154,126.087,9.06223
255,0.255,113,0.01819,2.10989e-07,0,-972.625,121.819,7.70405
256,0.256,106,0.090042,1.2494e-05,0,-962.833,118.439,6.4988
257,0.257,97,0.02061,1.72342e-07,0,-952.088,115.622,5.46283
258,0.258,89,0.020104,1.80438e-07,0,-940.716,113.041,4.5961
259,0.259,78,0.176297,4.09397e-06,0,-929.068,110.385,3.87657
260,0.26,69,0.065112,1.37757e-05,0,-917.491,107.385,3.29069
261,0.261,61,0.059864,6.56703e-08,0,-906.265,103.832,2.83581
262,0.262,53,0.062413,6.902e-06,0,-895.609,99.5781,2.50709
263,0.263,48,0.07716,3.82917e-05,0,-885.678,94.5413,2.28041
264,0.264,38,0.015342,4.44296e-08,0,-876.586,88.7133,2.11117
265,0.265,31,0.056535,3.53816e-06,0,-868.379,82.1621,1.9651
266,0.266,26,0.017414,1.23231e-08,0,-861.017,75.0233,1.81693
267,0.267,20,0.013918,1.00174e-08,0,-854.383,67.4864,1.65893
268,0.268,18,0.026829,8.54768e-06,0,-848.285,59.785,1.48995
269,0.269,16,0.020628,2.05111e-06,0,-842.485,52.1729,1.30352
270,0.27,10,0.016258,3.86235e-09,0,-836.732,44.8949,1.10831
271,0.271,10,0.015522,1.87677e-06,0,-830.762,38.1765,0.916899
272,0.272,8,0.017994,2.62355e-09,0,-824.337,32.2086,0.737503
