step,time_sec,ipc_active_samples,ipc_solver_time_sec,ipc_energy_main,ipc_energy_sub0,ipc_ls_active_samples,ipc_ls_solver_time_sec,ipc_ls_energy_main,ipc_ls_energy_sub0,penalty_active_samples,penalty_solver_time_sec,penalty_energy_main,penalty_energy_sub0
55.0,0.055,0.0,0.004906,-150.898,4.61853e-12,0.0,0.003858,-150.898,4.02878e-12,0.0,0.003738,-150.898,3.76588e-12
56.0,0.056,0.0,0.00544,-156.336,8.44125e-12,0.0,0.003566,-156.336,6.97042e-12,0.0,0.005032,-156.336,7.09832e-12
57.0,0.057,0.0,0.004963,-161.869,6.1533e-12,0.0,0.003128,-161.869,8.18545e-12,0.0,0.009838,-161.869,7.78044e-12
58.0,0.058,0.0,0.005495,-167.499,5.61329e-12,0.0,0.003138,-167.499,5.79803e-12,0.0,0.004038,-167.499,6.56541e-12
59.0,0.059000000000000004,0.0,0.007274,-173.225,5.79803e-12,0.0,0.00337,-173.225,5.47118e-12,0.0,0.004432,-173.225,4.54037e-12
60.0,0.06,0.0,0.005192,-179.047,5.76961e-12,0.0,0.003737,-179.047,7.42517e-12,0.0,0.005117,-179.047,6.03961e-12
61.0,0.061,0.0,0.004307,-184.966,6.23857e-12,0.0,0.003047,-184.966,9.05942e-12,0.0,0.003645,-184.966,6.78568e-12
62.0,0.062,0.0,0.005413,-190.981,8.10729e-12,0.0,0.003489,-190.981,7.09122e-12,0.0,0.005889,-190.981,7.24043e-12
63.0,0.063,0.0,0.005623,-197.092,6.83542e-12,0.0,0.003787,-197.092,6.79989e-12,0.0,0.005815,-197.092,5.21538e-12
64.0,0.064,0.0,0.056769,-203.299,8.22098e-12,0.0,0.004173,-203.299,3.78719e-12,0.0,0.005282,-203.299,6.50857e-12
65.0,0.065,0.0,0.00461,-209.602,6.55831e-12,0.0,0.003337,-209.602,6.64357e-12,0.0,0.00445,-209.602,4.77485e-12
66.0,0.066,0.0,0.003371,-216.002,5.97566e-12,0.0,0.003479,-216.002,5.18696e-12,0.0,0.008551,-216.002,6.76437e-12
67.0,0.067,0.0,0.005135,-222.498,8.48388e-12,0.0,0.006099,-222.498,7.24043e-12,0.0,0.004461,-222.498,8.3773e-12
68.0,0.068,0.0,0.006919,-229.09,6.1533e-12,0.0,0.010536,-229.09,7.47491e-12,0.0,0.00528,-229.09,6.6791e-12
69.0,0.069,0.0,0.006399,-235.778,7.05569e-12,0.0,0.003186,-235.778,5.98988e-12,0.0,0.00499,-235.778,5.96856e-12
70.0,0.07,0.0,0.008916,-242.563,5.59197e-12,0.0,0.003034,-242.563,7.03437e-12,0.0,0.004752,-242.563,1.0175e-11
71.0,0.07100000000000001,0.0,0.007735,-249.444,4.63274e-12,0.0,0.003211,-249.444,6.63647e-12,0.0,0.004652,-249.444,6.23146e-12
72.0,0.07200000000000001,0.0,0.00538,-256.421,4.51905e-12,0.0,0.003531,-256.421,6.45883e-12,0.0,0.004063,-256.421,5.86908e-12
73.0,0.073,0.0,0.005916,-263.494,6.2883e-12,0.0,0.003871,-263.494,6.87805e-12,0.0,0.116826,-263.494,7.68807e-12
74.0,0.074,0.0,0.005215,-270.664,5.80513e-12,0.0,0.009119,-270.664,4.75353e-12,0.0,0.003696,-270.664,7.04858e-12
75.0,0.075,0.0,0.006908,-277.93,6.43752e-12,0.0,0.004665,-277.93,8.82494e-12,0.0,0.003634,-277.93,7.2049e-12
76.0,0.076,0.0,0.004107,-285.292,5.53513e-12,0.0,0.004524,-285.292,4.91696e-12,0.0,0.003636,-285.292,5.20828e-12
77.0,0.077,0.0,0.005856,-292.75,6.20304e-12,0.0,0.003368,-292.75,5.61329e-12,0.0,0.003334,-292.75,7.11253e-12
78.0,0.078,0.0,0.005191,-300.305,5.86908e-12,0.0,0.005793,-300.305,7.18359e-12,0.0,0.003375,-300.305,7.64544e-12
79.0,0.079,0.0,0.004451,-307.955,6.17462e-12,0.0,0.005542,-307.955,7.09832e-12,0.0,0.00496,-307.955,7.54596e-12
80.0,0.08,0.0,0.005087,-315.702,6.89937e-12,0.0,0.005434,-315.702,9.031e-12,0.0,0.003347,-315.702,6.89937e-12
81.0,0.081,0.0,0.04306,-323.546,6.66489e-12,0.0,0.005575,-323.546,7.14806e-12,0.0,0.003491,-323.546,7.22622e-12
82.0,0.082,0.0,0.003983,-331.485,5.16565e-12,0.0,0.008101,-331.485,7.33991e-12,0.0,0.003328,-331.485,6.35936e-12
83.0,0.083,0.0,0.004432,-339.521,7.9865e-12,0.0,0.007851,-339.521,6.45883e-12,0.0,0.004458,-339.521,8.71836e-12
84.0,0.084,0.0,0.005999,-347.653,4.3201e-12,0.0,0.004381,-347.653,5.2367e-12,0.0,0.003691,-347.653,6.24567e-12
85.0,0.085,0.0,0.008869,-355.881,6.21014e-12,0.0,0.025482,-355.881,3.36087e-12,0.0,0.003535,-355.881,6.8141e-12
86.0,0.08600000000000001,0.0,0.004375,-364.205,7.17648e-12,0.0,0.008452,-364.205,7.13385e-12,0.0,0.004774,-364.205,6.48015e-12
87.0,0.08700000000000001,0.0,0.004273,-372.626,6.21725e-12,0.0,0.006644,-372.626,6.20304e-12,0.0,0.005709,-372.626,3.97904e-12
88.0,0.088,0.0,0.003981,-381.143,3.61666e-12,0.0,0.006764,-381.143,3.9293e-12,0.0,0.003526,-381.143,5.74119e-12
89.0,0.089,0.0,0.004376,-389.756,6.31672e-12,0.0,0.007798,-389.756,4.73932e-12,0.0,0.003682,-389.756,4.46221e-12
90.0,0.09,0.0,0.003985,-398.466,5.09459e-12,0.0,0.014171,-398.466,4.69669e-12,0.0,0.007584,-398.466,4.53326e-12
91.0,0.091,0.0,0.003926,-407.271,5.42144e-12,0.0,0.028975,-407.271,3.6664e-12,0.0,0.003185,-407.271,3.69482e-12
92.0,0.092,0.0,0.006363,-416.173,5.90461e-12,0.0,0.045669,-416.173,5.69855e-12,0.0,0.003212,-416.173,5.60618e-12
93.0,0.093,0.0,0.005223,-425.171,7.1978e-12,0.0,0.010157,-425.171,6.49436e-12,0.0,0.003977,-425.171,4.39826e-12
94.0,0.094,0.0,0.004602,-434.265,5.20828e-12,0.0,0.003556,-434.265,5.32907e-12,0.0,0.003333,-434.265,6.92069e-12
95.0,0.095,0.0,0.004733,-443.456,6.48015e-12,0.0,0.004696,-443.456,5.4925e-12,0.0,0.003359,-443.456,7.2049e-12
96.0,0.096,0.0,0.003979,-452.743,8.26361e-12,0.0,0.003098,-452.743,5.88329e-12,0.0,0.017539,-452.743,6.71463e-12
97.0,0.097,0.0,0.003698,-462.126,4.27036e-12,0.0,0.003207,-462.126,4.90985e-12,0.0,0.003688,-462.126,5.16565e-12
98.0,0.098,0.0,0.004058,-471.605,5.35039e-12,0.0,0.003257,-471.605,7.18359e-12,0.0,0.003156,-471.605,5.27933e-12
99.0,0.099,0.0,0.004213,-481.18,5.62039e-12,0.0,0.003566,-481.18,4.91696e-12,0.0,0.00352,-481.18,3.78719e-12
100.0,0.1,0.0,0.003901,-490.852,6.39488e-12,0.0,0.002907,-490.852,5.67013e-12,0.0,0.003236,-490.852,4.76774e-12
101.0,0.101,0.0,0.003737,-500.62,4.21352e-12,0.0,0.003512,-500.62,6.84963e-12,0.0,0.003293,-500.62,5.77671e-12
102.0,0.10200000000000001,0.0,0.004115,-510.484,5.59908e-12,0.0,0.002997,-510.484,4.34852e-12,0.0,0.00424,-510.484,5.45697e-12
103.0,0.10300000000000001,0.0,0.053145,-520.445,5.50671e-12,0.0,0.00341,-520.445,4.63984e-12,0.0,0.003451,-520.445,5.13722e-12
104.0,0.10400000000000001,0.0,0.004479,-530.501,6.13198e-12,0.0,0.003337,-530.501,5.13012e-12,0.0,0.041998,-530.501,5.70566e-12
105.0,0.105,0.0,0.004049,-540.654,4.74643e-12,0.0,0.003284,-540.654,3.7943e-12,0.0,0.003549,-540.654,6.90648e-12
106.0,0.106,0.0,0.00518,-550.904,7.83729e-12,0.0,0.004273,-550.904,5.08749e-12,0.0,0.004501,-550.904,5.19407e-12
107.0,0.107,0.0,0.006872,-561.249,5.57066e-12,0.0,0.002971,-561.249,5.20117e-12,0.0,0.003779,-561.249,4.85301e-12
108.0,0.108,0.0,0.004072,-571.69,4.68958e-12,0.0,0.003729,-571.69,5.03064e-12,0.0,0.003433,-571.69,3.59535e-12
109.0,0.109,0.0,0.004013,-582.228,4.59011e-12,0.0,0.003112,-582.228,5.01643e-12,0.0,0.003468,-582.228,4.68248e-12
110.0,0.11,0.0,0.003188,-592.862,3.90088e-12,0.0,0.003056,-592.862,5.62039e-12,0.0,0.003486,-592.862,4.59721e-12
111.0,0.111,0.0,0.010518,-603.593,4.94538e-12,0.0,0.0033,-603.593,6.27409e-12,0.0,0.003712,-603.593,7.04148e-12
112.0,0.112,0.0,0.003581,-614.419,3.75877e-12,0.0,0.003413,-614.419,6.07514e-12,0.0,0.003468,-614.419,4.07141e-12
113.0,0.113,0.0,0.003537,-625.342,4.11404e-12,0.0,0.003099,-625.342,4.98801e-12,0.0,0.003227,-625.342,6.43041e-12
114.0,0.114,0.0,0.003408,-636.361,5.79092e-12,0.0,0.004689,-636.361,5.77671e-12,0.0,0.003518,-636.361,4.38405e-12
115.0,0.115,0.0,0.00374,-647.476,6.5512e-12,0.0,0.004168,-647.476,5.28644e-12,0.0,0.003617,-647.476,4.1851e-12
116.0,0.116,0.0,0.004075,-658.688,5.38591e-12,0.0,0.003169,-658.688,3.87956e-12,0.0,0.005377,-658.688,6.49436e-12
117.0,0.117,0.0,0.00371,-669.996,4.25615e-12,0.0,0.003229,-669.996,3.1477e-12,0.0,0.004668,-669.996,3.42482e-12
118.0,0.11800000000000001,0.0,0.005648,-681.4,4.66827e-12,0.0,0.003382,-681.4,6.70752e-12,0.0,0.00353,-681.4,4.80327e-12
119.0,0.11900000000000001,0.0,0.004091,-692.9,6.5512e-12,0.0,0.003117,-692.9,6.53699e-12,0.0,0.01866,-692.9,5.77671e-12
120.0,0.12,0.0,0.005093,-704.496,3.25429e-12,0.0,0.003279,-704.496,3.05533e-12,0.0,0.004781,-704.496,4.68958e-12
121.0,0.121,0.0,0.003882,-716.189,5.60618e-12,0.0,0.005502,-716.189,4.67537e-12,0.0,0.003391,-716.189,4.718e-12
122.0,0.122,0.0,0.00328,-727.978,7.51754e-12,0.0,0.00303,-727.978,2.34479e-12,0.0,0.004415,-727.978,6.39488e-12
123.0,0.123,0.0,0.003896,-739.863,5.88329e-12,0.0,0.003748,-739.863,3.85114e-12,0.0,0.003551,-739.863,4.14957e-12
124.0,0.124,0.0,0.004151,-751.844,5.13012e-12,0.0,0.005427,-751.844,5.28644e-12,0.0,0.003458,-751.844,4.448e-12
125.0,0.125,0.0,0.003327,-763.922,4.50484e-12,0.0,0.005255,-763.922,4.86722e-12,0.0,0.004369,-763.922,6.43752e-12
126.0,0.126,0.0,0.003979,-776.096,4.46931e-12,0.0,0.005635,-776.096,4.21352e-12,0.0,0.00613,-776.096,5.05196e-12
127.0,0.127,0.0,0.005885,-788.366,7.68097e-12,0.0,0.023631,-788.366,6.62226e-12,0.0,0.004205,-788.366,4.46221e-12
128.0,0.128,0.0,0.006373,-800.732,4.37694e-12,0.0,0.003051,-800.732,3.94351e-12,0.0,0.004,-800.732,5.43565e-12
129.0,0.129,0.0,0.061209,-813.195,4.8459e-12,0.0,0.003519,-813.195,3.58824e-12,0.0,0.004357,-813.195,5.67724e-12
130.0,0.13,0.0,0.004649,-825.754,5.74829e-12,0.0,0.003278,-825.754,3.82983e-12,0.0,0.00508,-825.754,7.5957e-12
131.0,0.131,0.0,0.003652,-838.409,7.8515e-12,0.0,0.003318,-838.409,2.82796e-12,0.0,0.004014,-838.409,2.91323e-12
132.0,0.132,0.0,0.004172,-851.16,5.41434e-12,0.0,0.004194,-851.16,6.56541e-12,0.0,0.003473,-851.16,6.77858e-12
133.0,0.133,0.0,0.003882,-864.008,5.40012e-12,0.0,0.004117,-864.008,4.9738e-12,0.0,0.005809,-864.008,2.91323e-12
134.0,0.134,0.0,0.00833,-876.951,4.17799e-12,0.0,0.003712,-876.951,4.63274e-12,0.0,0.004527,-876.951,4.25615e-12
135.0,0.135,0.0,0.005296,-889.991,6.0183e-12,0.0,0.021636,-889.991,4.89564e-12,0.0,0.005237,-889.991,2.96296e-12
136.0,0.136,0.0,0.004675,-903.128,4.09273e-12,0.0,0.004997,-903.128,1.94689e-12,0.0,0.006153,-903.128,3.43903e-12
137.0,0.137,0.0,0.005309,-916.36,5.12301e-12,0.0,0.00498,-916.36,2.89191e-12,0.0,0.00374,-916.36,4.31299e-12
138.0,0.138,0.0,0.004841,-929.689,4.01457e-12,0.0,0.007404,-929.689,1.71951e-12,0.0,0.004324,-929.689,2.01794e-12
139.0,0.139,0.0,0.00594,-943.114,3.6664e-12,0.0,0.003842,-943.114,4.89564e-12,0.0,0.003725,-943.114,2.96296e-12
140.0,0.14,0.0,0.009903,-956.635,5.38591e-12,0.0,0.005247,-956.635,5.47828e-12,0.0,0.004093,-956.635,6.40199e-12
141.0,0.14100000000000001,0.0,0.007682,-970.252,2.20979e-12,0.0,0.004183,-970.252,4.11404e-12,0.0,0.003721,-970.252,4.17799e-12
142.0,0.14200000000000002,0.0,0.006188,-983.966,8.29914e-12,0.0,0.004238,-983.966,4.64695e-12,0.0,0.004339,-983.966,5.98277e-12
143.0,0.14300000000000002,0.0,0.004992,-997.776,4.69669e-12,0.0,0.004003,-997.776,3.78719e-12,0.0,0.005667,-997.776,5.43565e-12
144.0,0.14400000000000002,0.0,0.003417,-1011.68,3.4035e-12,0.0,0.007987,-1011.68,5.04485e-12,0.0,0.004808,-1011.68,6.75016e-12
145.0,0.145,0.0,0.004908,-1025.68,2.64322e-12,0.0,0.004647,-1025.68,6.06803e-12,0.0,0.003622,-1025.68,5.1088e-12
146.0,0.146,0.0,0.005974,-1039.78,1.63425e-12,0.0,0.005386,-1039.78,4.08562e-12,0.0,0.004743,-1039.78,4.73932e-12
147.0,0.147,0.0,0.005652,-1053.98,6.64357e-12,0.0,0.00454,-1053.98,4.80327e-12,0.0,0.003249,-1053.98,5.21538e-12
148.0,0.148,0.0,0.00972,-1068.27,3.58114e-12,0.0,0.004617,-1068.27,4.4551e-12,0.0,0.004061,-1068.27,5.82645e-12
149.0,0.149,0.0,0.005718,-1082.66,3.80851e-12,0.0,0.005729,-1082.66,4.33431e-12,0.0,0.00323,-1082.66,5.73408e-12
150.0,0.15,0.0,0.003924,-1097.14,2.58638e-12,0.0,0.040556,-1097.14,6.38778e-12,0.0,0.003244,-1097.14,3.87956e-12
151.0,0.151,0.0,0.004722,-1111.72,3.73745e-12,0.0,0.011755,-1111.72,3.33955e-12,0.0,0.004302,-1111.72,4.66116e-12
152.0,0.152,0.0,0.005091,-1126.4,4.26326e-12,0.0,0.010345,-1126.4,5.30065e-12,0.0,0.0041,-1126.4,5.67724e-12
153.0,0.153,0.0,0.013823,-1141.17,1.89004e-12,0.0,0.005825,-1141.17,5.53513e-12,0.0,0.004185,-1141.17,3.99325e-12
154.0,0.154,0.0,0.015361,-1156.04,-1.84741e-13,0.0,0.004634,-1156.04,2.15294e-12,0.0,0.004172,-1156.04,2.8848e-12
155.0,0.155,0.0,0.003698,-1171.0,5.39302e-12,0.0,0.004774,-1171.0,8.88178e-13,0.0,0.003862,-1171.0,4.44089e-12
156.0,0.156,0.0,0.003456,-1186.06,2.33769e-12,0.0,0.005105,-1186.06,4.14957e-12,0.0,0.003581,-1186.06,4.07141e-12
157.0,0.157,0.0,0.005022,-1201.22,2.55795e-13,0.0,0.008726,-1201.22,1.50635e-12,0.0,0.00394,-1201.22,3.01981e-12
158.0,0.158,0.0,0.003415,-1216.47,3.9293e-12,0.0,0.010099,-1216.47,3.63798e-12,0.0,0.004108,-1216.47,2.94165e-12
159.0,0.159,1.0,0.074179,-1231.82,0.0013061,1.0,0.078109,-1231.82,0.0013061,0.0,0.003423,-1231.82,5.25091e-12
160.0,0.16,1.0,0.0976,-1247.13,0.0214531,1.0,0.062203,-1247.13,0.0214531,0.0,0.006251,-1247.27,5.20117e-12
161.0,0.161,2.0,0.056799,-1262.35,0.112999,2.0,0.070127,-1262.35,0.112999,0.0,0.003193,-1262.81,4.24194e-12
162.0,0.162,5.0,0.076495,-1277.4,0.368242,5.0,0.135172,-1277.4,0.368242,0.0,0.00353,-1278.45,4.88143e-12
163.0,0.163,6.0,0.067963,-1291.84,0.946464,6.0,0.204304,-1291.84,0.946464,0.0,0.003395,-1294.18,7.31859e-12
164.0,0.164,9.0,0.019371,-1305.86,2.0393,9.0,0.045548,-1305.86,2.0393,0.0,0.004554,-1310.01,2.46558e-12
165.0,0.165,10.0,0.016383,-1319.66,3.7217,10.0,0.06074,-1319.66,3.7217,0.0,0.004519,-1325.94,4.03588e-12
166.0,0.166,14.0,0.027681,-1333.21,5.97049,14.0,0.053268,-1333.21,5.97049,1.0,0.007134,-1341.96,9.51312e-07
167.0,0.167,14.0,0.022774,-1346.35,8.74921,14.0,0.042978,-1346.35,8.74921,2.0,0.008995,-1358.08,7.83144e-06
168.0,0.168,17.0,0.016639,-1358.98,12.0566,17.0,0.051498,-1358.98,12.0566,5.0,0.102695,-1374.29,4.29274e-05
169.0,0.169,23.0,0.107566,-1371.02,15.9627,23.0,0.061405,-1371.02,15.9627,7.0,0.028255,-1390.58,0.000178764
170.0,0.17,30.0,0.01678,-1382.27,20.5607,30.0,0.08481,-1382.27,20.5607,11.0,0.104866,-1406.95,0.000590773
171.0,0.171,47.0,0.022978,-1392.15,25.922,47.0,0.139982,-1392.15,25.922,15.0,0.009153,-1423.38,0.00163549
172.0,0.17200000000000001,61.0,0.016526,-1399.52,32.4729,61.0,0.194823,-1399.52,32.4729,23.0,0.007863,-1439.85,0.00402961
173.0,0.17300000000000001,76.0,0.14198,-1404.75,40.9049,76.0,0.053106,-1404.75,40.9049,29.0,0.009767,-1456.35,0.0088844
174.0,0.17400000000000002,87.0,0.026218,-1407.77,51.6018,87.0,0.080566,-1407.77,51.6018,38.0,0.008081,-1472.86,0.0178632
175.0,0.17500000000000002,97.0,0.01614,-1407.42,64.8239,97.0,0.106387,-1407.42,64.8239,49.0,0.110274,-1489.35,0.033155
176.0,0.176,108.0,0.090006,-1403.75,80.8588,108.0,0.052289,-1403.75,80.8588,57.0,0.011651,-1505.79,0.0573855
177.0,0.177,126.0,0.031981,-1396.17,99.8538,126.0,0.074267,-1396.17,99.8537,73.0,0.011489,-1522.16,0.0937414
178.0,0.178,138.0,0.052837,-1384.61,121.992,138.0,0.242837,-1384.61,121.992,84.0,0.064537,-1538.4,0.145625
179.0,0.179,150.0,0.050965,-1370.56,147.299,150.0,0.134506,-1370.56,147.299,105.0,0.04687,-1554.48,0.216986
