step,time_sec,barrier_active_samples,penalty_active_samples,barrier_solver_time_sec,penalty_solver_time_sec,barrier_energy_main,penalty_energy_main,barrier_energy_sub0,penalty_energy_sub0
174,0.17400000000000002,87,38,0.074195,0.037035,-1404.75,-1456.35,40.9049,0.0088844
175,0.17500000000000002,97,49,0.020701,0.016327,-1407.77,-1472.86,51.6018,0.0178632
176,0.176,108,57,0.034136,0.042776,-1407.42,-1489.35,64.8239,0.033155
177,0.177,126,73,0.02294,0.018726,-1403.75,-1505.79,80.8588,0.0573855
178,0.178,138,84,0.045783,0.013632,-1396.17,-1522.16,99.8538,0.0937414
179,0.179,150,105,0.085661,0.030936,-1384.61,-1538.4,121.992,0.145625
180,0.18,163,126,0.018684,0.015157,-1370.56,-1554.48,147.299,0.216986
181,0.181,180,145,0.029112,0.054101,-1354.56,-1570.32,175.474,0.312839
182,0.182,199,170,0.097708,0.014387,-1336.15,-1585.87,206.219,0.439736
183,0.183,214,200,0.023886,0.064514,-1314.87,-1601.07,239.39,0.60521
184,0.184,238,230,0.076098,0.013674,-1290.64,-1615.83,274.968,0.817594
185,0.185,264,256,0.019569,0.165456,-1263.72,-1630.05,312.882,1.08606
186,0.186,307,287,0.036039,0.15972,-1234.03,-1643.64,352.997,1.41983
187,0.187,359,306,0.057135,0.018708,-1200.81,-1656.51,394.962,1.82859
188,0.188,408,343,0.018532,0.021414,-1161.27,-1668.57,438.635,2.32253
189,0.189,452,366,0.156163,0.017307,-1116.3,-1679.76,485.032,2.9131
190,0.19,483,407,0.041862,0.01978,-1067.91,-1689.94,534.472,3.6128
191,0.191,493,445,0.027197,0.116436,-1013.32,-1699.08,586.299,4.43485
192,0.192,494,479,0.033147,0.025297,-957.868,-1706.99,639.626,5.39252
193,0.193,489,517,0.101768,0.107553,-905.318,-1713.59,692.371,6.49911
194,0.194,484,550,0.068729,0.099177,-855.283,-1718.76,743.422,7.76813
195,0.195,479,586,0.053923,0.1059,-807.433,-1722.4,793.552,9.21602
196,0.196,468,611,0.022095,0.087199,-760.643,-1724.41,844.057,10.8598
197,0.197,463,628,0.020778,0.020466,-713.664,-1724.68,895.694,12.7188
198,0.198,454,642,0.068988,0.023125,-665.674,-1723.18,948.641,14.8108
199,0.199,442,648,0.194421,0.252315,-616.215,-1719.9,1002.65,17.1557
200,0.2,430,653,0.034943,0.021886,-565.228,-1714.83,1057.14,19.7738
201,0.201,413,657,0.026303,0.119442,-513.121,-1708.02,1111.26,22.6877
202,0.202,406,662,0.173924,0.098285,-460.68,-1699.5,1164.04,25.924
203,0.203,395,669,0.048087,0.020014,-408.845,-1689.29,1214.58,29.5139
204,0.20400000000000001,390,675,0.099819,0.033558,-358.535,-1677.44,1262.18,33.4938
205,0.20500000000000002,387,682,0.033457,0.028501,-310.474,-1663.95,1306.3,37.9031
206,0.20600000000000002,385,691,0.032703,0.034515,-265.236,-1648.85,1346.52,42.7843
207,0.20700000000000002,384,701,0.018458,0.032585,-223.308,-1632.15,1382.51,48.1808
208,0.20800000000000002,385,708,0.122564,0.033322,-185.101,-1613.87,1414.02,54.1356
209,0.209,389,714,0.100487,0.119712,-150.916,-1594.02,1440.94,60.6867
210,0.21,392,721,0.02175,0.114505,-120.905,-1572.6,1463.26,67.8668
211,0.211,400,721,0.032008,0.094311,-95.0904,-1549.65,1480.98,75.702
212,0.212,407,721,0.0231,0.095801,-73.4399,-1525.17,1494.11,84.2072
213,0.213,414,721,0.070903,0.149125,-55.9547,-1499.2,1502.54,93.3881
214,0.214,424,721,0.08523,0.033925,-42.7273,-1471.79,1506.09,103.241
215,0.215,440,721,0.065542,0.043021,-33.9404,-1442.98,1504.53,113.753
216,0.216,448,721,0.024772,0.031356,-29.7964,-1412.8,1497.66,124.902
217,0.217,463,721,0.085911,0.08029,-30.4635,-1381.32,1485.38,136.659
218,0.218,469,721,0.024847,0.028251,-36.1282,-1348.58,1467.67,148.984
219,0.219,471,721,0.025922,0.135537,-46.9347,-1314.65,1444.65,161.833
220,0.22,472,721,0.134433,0.095831,-62.888,-1279.6,1416.57,175.154
221,0.221,472,722,0.024509,0.205612,-83.8202,-1243.5,1383.75,188.89
222,0.222,469,722,0.145899,0.035076,-109.439,-1206.42,1346.66,202.981
223,0.223,463,723,0.039726,0.067726,-139.307,-1168.45,1305.8,217.358
224,0.224,457,724,0.169863,0.192471,-172.88,-1129.68,1261.74,231.951
225,0.225,444,727,0.09055,0.081453,-209.548,-1090.19,1215.01,246.686
226,0.226,431,727,0.027541,0.052754,-248.697,-1050.08,1166.09,261.487
227,0.227,419,730,0.068136,0.143137,-289.76,-1009.46,1115.39,276.274
228,0.228,409,731,0.024002,0.136975,-332.254,-968.421,1063.23,290.969
229,0.229,393,734,0.054804,0.198544,-375.786,-927.074,1009.93,305.492
230,0.23,384,737,0.028589,0.031923,-420.016,-885.528,955.789,319.766
231,0.231,372,740,0.05921,0.138094,-464.615,-843.893,901.163,333.714
232,0.232,359,742,0.060414,0.168074,-509.237,-802.277,846.435,347.263
233,0.233,346,745,0.069336,0.39644,-553.515,-760.791,792.019,360.343
234,0.234,330,747,0.02468,0.073374,-597.063,-719.548,738.322,372.886
235,0.23500000000000001,317,751,0.026445,0.032523,-639.512,-678.655,685.73,384.83
236,0.23600000000000002,304,755,0.056176,0.031096,-680.517,-638.22,634.594,396.118
237,0.23700000000000002,293,759,0.019776,0.031143,-719.761,-598.348,585.221,406.699
238,0.23800000000000002,283,762,0.094307,0.033084,-756.969,-559.139,537.869,416.531
239,0.23900000000000002,274,769,0.025846,0.034854,-791.906,-520.692,492.751,425.575
240,0.24,259,773,0.063615,0.031642,-824.379,-483.102,450.037,433.806
241,0.241,250,776,0.123914,0.03457,-854.233,-446.454,409.852,441.204
242,0.242,240,781,0.024267,0.030973,-881.368,-410.835,372.287,447.757
243,0.243,229,785,0.041131,0.033274,-905.703,-376.323,337.417,453.463
244,0.244,220,791,0.077809,0.032154,-927.184,-342.992,305.303,458.331
245,0.245,210,795,0.082012,0.03967,-945.775,-310.911,275.983,462.378
246,0.246,198,797,0.028748,0.062037,-961.461,-280.141,249.483,465.628
247,0.247,188,802,0.025856,0.031666,-974.242,-250.742,225.802,468.111
248,0.248,176,807,0.026354,0.039612,-984.142,-222.77,204.911,469.865
249,0.249,164,809,0.021702,0.212409,-991.208,-196.272,186.742,470.932
250,0.25,155,814,0.069561,0.034453,-995.522,-171.297,171.19,471.359
251,0.251,142,816,0.020467,0.208122,-997.199,-147.888,158.105,471.193
252,0.252,134,817,0.083773,0.225029,-996.395,-126.088,147.294,470.485
253,0.253,129,817,0.023876,0.029316,-993.302,-105.936,138.532,469.284
254,0.254,118,817,0.020317,0.031789,-988.136,-87.4719,131.558,467.637
255,0.255,113,817,0.048672,0.086547,-981.154,-70.7317,126.087,465.594
256,0.256,106,817,0.019131,0.092457,-972.625,-55.7508,121.819,463.198
257,0.257,97,817,0.109923,0.035105,-962.833,-42.5629,118.439,460.495
258,0.258,89,817,0.244575,0.232117,-952.088,-31.1995,115.622,457.524
259,0.259,78,817,0.019836,0.146785,-940.716,-21.6901,113.041,454.325
260,0.26,69,817,0.016205,0.035313,-929.068,-14.0613,110.385,450.933
261,0.261,61,817,0.058125,0.092255,-917.491,-8.33686,107.385,447.381
262,0.262,53,817,0.027512,0.030261,-906.265,-4.53719,103.832,443.7
263,0.263,48,817,0.020808,0.033465,-895.609,-2.67859,99.5781,439.916
